time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.001015356488152,7.980103466920241e-07,6.956120426337975e-07,0.0,0.0,0.0,0.10153564881523884,-0.0012633371254664408,0.0011795016261330247,0.0,497.13848170680086,497.3976418254644,498.0509681491606,497.7737468805905
0.04,-1.8785877418873893e-09,2.155127230805084e-09,10.003784695139009,1.817049099450685e-05,8.38219550400865e-05,0.0,-1.8785877418873894e-07,2.1551272308050842e-07,0.17539821627038524,0.007971295856677968,0.012091541808843986,0.0,471.8008274167347,474.3210985232213,473.69998885593975,475.82524712678827
0.06,-1.6858274843238648e-07,4.17881882076538e-08,10.007274624906065,0.00018086753011825607,0.0003500664699789269,0.0,-1.6482557294861167e-05,3.7477933746043625e-06,0.1735947604353089,0.005413514790946546,0.005103884295510595,0.0,402.78076405945313,400.88065645573005,402.7259389243787,402.03129473536734
0.08,-1.2858837303521615e-06,5.236961155440832e-07,10.011034520756589,0.0003031752198472404,0.00046119299444136175,0.0,-9.524754089711631e-05,4.444299935903858e-05,0.20239482461703692,0.010712079485206086,0.009358020765318175,0.0,432.3083175507194,433.382078908655,431.67406182274834,433.01301158724283
0.1,-4.463537689954304e-06,2.2491950490149596e-06,10.01588000598566,0.0005491120423872786,0.0006483779025012737,0.0,-0.00022251785506309795,0.00012810689398804904,0.28215369828997433,0.0027502665213682345,0.009579347464693659,0.0,479.5751656256262,479.6254581610019,479.48384841186936,477.66599271118463
0.12000000000000001,-1.0689029501454768e-05,6.314696400816919e-06,10.02229888791802,0.0006707489444552905,0.0008403101220739728,0.0,-0.00040003132608694837,0.0002784432411921469,0.3597344949460299,0.014294232186615716,0.008748359765004347,0.0,477.8533739523947,477.66320000194906,475.3753430755607,478.0212213667642
0.14,-2.1120215152125368e-05,1.3823671652087127e-05,10.03042403133286,0.0009878846360011906,0.0010315690805020594,0.0,-0.0006430872389801116,0.00047245428393487396,0.4527798465379772,0.02220005887497682,0.014456557926973083,0.0,490.04668621151245,491.31762446167437,489.56039093819953,491.3215468601236
0.16,-3.6771949280800116e-05,2.5944595890042148e-05,10.040222233230207,0.0014318903574803699,0.0013207441473115367,0.0,-0.0009220861738873638,0.000739638139860628,0.5270403431968045,0.022295389665420044,0.014752896484537639,0.0,473.67029852611404,473.73852828727786,475.16408430524405,475.1859919202963
0.18,-5.8367839176935344e-05,4.415695815275938e-05,10.05118920976899,0.0018791514863290004,0.0016183326530851971,0.0,-0.0012375028157261586,0.001081598086411095,0.5696573106815852,0.02394058603080644,0.012503196023096318,0.0,445.33047261584767,444.7780513482483,446.5709829081868,446.97335699286344
0.19999999999999998,-8.723687916093159e-05,7.057173268120539e-05,10.063165551091089,0.0024192418109958425,0.001868427860199695,0.0,-0.0016494011826734658,0.001559879366433506,0.6279768215283448,0.01287003012330909,0.012753342590224793,0.0,459.9367321764217,459.99602747138596,462.07725747434546,459.45208208382206
0.21999999999999997,-0.0001245443553777016,0.00010736213717322258,10.076074888778678,0.0026910794349168654,0.0021237319324916015,0.0,-0.0020813464390035366,0.002119161082768212,0.6629569472305166,0.007496572864712456,0.012064545831065832,0.0,439.19643170484943,439.02492049714385,439.25109199062763,437.91228053196716
0.23999999999999996,-0.00017041150304523958,0.00015511831959425483,10.089368605093497,0.002860143378229374,0.0023664561503089487,0.0,-0.0025053683277502597,0.0026564571593350136,0.6664146842514943,0.013682441602107378,0.010371441465836892,0.0,408.92541395588285,408.4726575194367,406.3334055831275,407.9933159222762
0.25999999999999995,-0.00022655977426550597,0.00021554858288118007,10.103287603927214,0.0031893148697941243,0.002648168392256345,0.0,-0.0031094587942763763,0.0033865691693575097,0.7254851991202469,0.0031446373219965722,-0.00181735770639525,0.0,461.71179826700956,458.818116308947,463.2826368284108,460.79049064323954
0.27999999999999997,-0.0002963003942434186,0.0002923744792417948,10.118686856813394,0.00326013564051042,0.0026229088476945606,0.0,-0.0038646032035148875,0.004296020466703965,0.8144400894976478,0.007126602735239186,-0.006526414844664952,0.0,487.67769201339183,486.6215201948201,487.25654339373233,488.1485961634883
0.3,-0.00038047264989444444,0.0003868465357174313,10.135636748533612,0.003404505362419208,0.0024931873154558915,0.0,-0.0045526223615876965,0.0051511851808596805,0.8805490825242047,0.00520948656537566,-0.005256167108938813,0.0,467.37651293347454,467.67349060527977,468.00357610750535,467.5556571555013
0.32,-0.00047802480945439724,0.0004987456573506501,10.153892688806184,0.0035517238710225385,0.0024029157855691707,0.0,-0.0052025935944075875,0.0060387269824622065,0.9450449447329093,-0.004067234546761707,-0.010706270280840556,0.0,466.6633564894377,465.3855996066629,467.69076751068536,465.51832504274864
0.34,-0.0005881049455227331,0.0006284303836816487,10.173340279800419,0.003476820585580853,0.002193977117339152,0.0,-0.005805420012426001,0.0069297456506376455,0.9997141546904809,-0.0004779712536643805,-0.01392705819285579,0.0,457.4587058060851,456.68888421867763,457.64800339088094,458.5042389060943
0.36000000000000004,-0.0007090061443975556,0.0007746203250637186,10.193557044752174,0.0034717995068147545,0.0019523604064985989,0.0,-0.006284699875056241,0.007689248487569359,1.0219623404850153,0.002534783733856816,-0.022520596813950598,0.0,428.14168442016637,425.9429618796092,426.97067403998943,427.74099222383046
